edition,country_noc,male_athletes,Mixed,Open,female_athletes,total_athletes
1956 Equestrian Olympics,GER,2,0,4,0,6
1956 Equestrian Olympics,ITA,0,0,2,0,2
1956 Equestrian Olympics,SUI,0,0,1,0,1
1956 Equestrian Olympics,SWE,1,0,2,0,3
1956 Summer Olympics,ARG,2,0,0,0,2
1956 Summer Olympics,AUS,18,0,2,8,28
1956 Summer Olympics,AUT,2,0,0,0,2
1956 Summer Olympics,BAH,0,0,1,0,1
1956 Summer Olympics,BEL,1,0,1,0,2
1956 Summer Olympics,BRA,1,0,0,0,1
1956 Summer Olympics,BUL,5,0,0,0,5
1956 Summer Olympics,CAN,4,0,0,1,5
1956 Summer Olympics,CHI,3,0,0,1,4
1956 Summer Olympics,DEN,0,0,2,1,3
1956 Summer Olympics,FIN,14,0,0,0,14
1956 Summer Olympics,FRA,13,0,0,1,14
1956 Summer Olympics,GBR,13,0,3,5,21
1956 Summer Olympics,GER,12,0,0,6,18
1956 Summer Olympics,GRE,1,0,0,0,1
1956 Summer Olympics,HUN,18,0,0,4,22
1956 Summer Olympics,IND,1,0,0,0,1
1956 Summer Olympics,IRI,5,0,0,0,5
1956 Summer Olympics,IRL,5,0,0,0,5
1956 Summer Olympics,ISL,1,0,0,0,1
1956 Summer Olympics,ITA,20,0,1,0,21
1956 Summer Olympics,JPN,12,0,0,0,12
1956 Summer Olympics,KOR,2,0,0,0,2
1956 Summer Olympics,MEX,1,0,0,0,1
1956 Summer Olympics,NOR,3,0,0,0,3
1956 Summer Olympics,NZL,1,0,1,0,2
1956 Summer Olympics,PAK,1,0,0,0,1
1956 Summer Olympics,POL,7,0,0,2,9
1956 Summer Olympics,ROU,9,0,0,3,12
1956 Summer Olympics,RSA,3,0,0,1,4
1956 Summer Olympics,RUS,67,0,0,13,80
1956 Summer Olympics,SWE,11,0,2,2,15
1956 Summer Olympics,TCH,4,0,0,2,6
1956 Summer Olympics,TUR,7,0,0,0,7
1956 Summer Olympics,URU,1,0,0,0,1
1956 Summer Olympics,USA,54,0,2,12,68
1956 Summer Olympics,YUG,3,0,0,0,3
1956 Winter Olympics,AUT,3,1,0,4,8
1956 Winter Olympics,CAN,1,1,0,1,3
1956 Winter Olympics,FIN,5,0,0,1,6
1956 Winter Olympics,GER,1,0,0,1,2
1956 Winter Olympics,HUN,0,1,0,0,1
1956 Winter Olympics,ITA,3,0,0,0,3
1956 Winter Olympics,JPN,1,0,0,0,1
1956 Winter Olympics,NOR,4,0,0,0,4
1956 Winter Olympics,POL,1,0,0,0,1
1956 Winter Olympics,RUS,8,0,0,4,12
1956 Winter Olympics,SUI,3,0,0,3,6
1956 Winter Olympics,SWE,5,0,0,1,6
1956 Winter Olympics,USA,5,0,0,2,7
1960 Summer Olympics,ARG,1,0,1,0,2
1960 Summer Olympics,AUS,13,0,0,4,17
1960 Summer Olympics,AUT,2,0,0,0,2
1960 Summer Olympics,BEL,3,0,1,0,4
1960 Summer Olympics,BRA,2,0,0,0,2
1960 Summer Olympics,BUL,7,0,0,0,7
1960 Summer Olympics,CAN,1,0,0,0,1
1960 Summer Olympics,DEN,3,0,3,0,6
1960 Summer Olympics,ESP,1,0,0,0,1
1960 Summer Olympics,ETH,1,0,0,0,1
1960 Summer Olympics,FIN,5,0,0,0,5
1960 Summer Olympics,FRA,5,0,0,0,5
1960 Summer Olympics,GBR,10,0,1,6,17
1960 Summer Olympics,GER,22,0,3,14,39
1960 Summer Olympics,GHA,1,0,0,0,1
1960 Summer Olympics,GRE,0,0,1,0,1
1960 Summer Olympics,HUN,17,0,0,2,19
1960 Summer Olympics,IND,1,0,0,0,1
1960 Summer Olympics,IRI,4,0,0,0,4
1960 Summer Olympics,IRQ,1,0,0,0,1
1960 Summer Olympics,ITA,28,0,4,2,34
1960 Summer Olympics,JPN,12,0,0,1,13
1960 Summer Olympics,MAR,1,0,0,0,1
1960 Summer Olympics,MEX,1,0,0,0,1
1960 Summer Olympics,NED,1,0,0,2,3
1960 Summer Olympics,NOR,0,0,1,0,1
1960 Summer Olympics,NZL,3,0,0,0,3
1960 Summer Olympics,PAK,2,0,0,0,2
1960 Summer Olympics,POL,17,0,0,4,21
1960 Summer Olympics,POR,0,0,1,0,1
1960 Summer Olympics,ROU,6,0,0,4,10
1960 Summer Olympics,RSA,3,0,0,0,3
1960 Summer Olympics,RUS,65,0,3,16,84
1960 Summer Olympics,SGP,1,0,0,0,1
1960 Summer Olympics,SUI,4,0,2,0,6
1960 Summer Olympics,SWE,5,0,0,1,6
1960 Summer Olympics,TCH,5,0,0,3,8
1960 Summer Olympics,TPE,1,0,0,0,1
1960 Summer Olympics,TUR,9,0,0,0,9
1960 Summer Olympics,UAR,2,0,0,0,2
1960 Summer Olympics,USA,55,0,3,7,65
1960 Summer Olympics,VEN,1,0,0,0,1
1960 Summer Olympics,WIF,1,0,0,0,1
1960 Summer Olympics,YUG,2,0,0,0,2
1960 Winter Olympics,AUT,4,0,0,1,5
1960 Winter Olympics,CAN,2,1,0,1,4
1960 Winter Olympics,FIN,5,0,0,2,7
1960 Winter Olympics,FRA,3,0,0,0,3
1960 Winter Olympics,GER,3,1,0,3,7
1960 Winter Olympics,ITA,0,0,0,1,1
1960 Winter Olympics,NED,1,0,0,1,2
1960 Winter Olympics,NOR,5,0,0,0,5
1960 Winter Olympics,POL,0,0,0,2,2
1960 Winter Olympics,RUS,9,0,0,8,17
1960 Winter Olympics,SUI,1,0,0,1,2
1960 Winter Olympics,SWE,4,0,0,1,5
1960 Winter Olympics,TCH,1,0,0,0,1
1960 Winter Olympics,USA,3,1,0,5,9
1964 Summer Olympics,ARG,0,0,1,0,1
1964 Summer Olympics,AUS,8,0,1,7,16
1964 Summer Olympics,BAH,0,0,1,0,1
1964 Summer Olympics,BEL,3,0,0,0,3
1964 Summer Olympics,BRA,1,0,0,0,1
1964 Summer Olympics,BUL,10,0,0,0,10
1964 Summer Olympics,CAN,4,0,0,0,4
1964 Summer Olympics,CUB,1,0,0,0,1
1964 Summer Olympics,DEN,4,0,2,0,6
1964 Summer Olympics,ETH,1,0,0,0,1
1964 Summer Olympics,FIN,5,0,0,0,5
1964 Summer Olympics,FRA,10,0,2,2,14
1964 Summer Olympics,GBR,10,0,2,3,15
1964 Summer Olympics,GER,31,0,6,8,45
1964 Summer Olympics,GHA,1,0,0,0,1
1964 Summer Olympics,HUN,16,0,0,5,21
1964 Summer Olympics,IND,1,0,0,0,1
1964 Summer Olympics,IRI,2,0,0,0,2
1964 Summer Olympics,IRL,1,0,0,0,1
1964 Summer Olympics,ITA,20,0,3,1,24
1964 Summer Olympics,JPN,22,0,0,2,24
1964 Summer Olympics,KEN,1,0,0,0,1
1964 Summer Olympics,KOR,3,0,0,0,3
1964 Summer Olympics,MEX,1,0,0,0,1
1964 Summer Olympics,NED,7,0,0,3,10
1964 Summer Olympics,NGR,1,0,0,0,1
1964 Summer Olympics,NZL,2,0,1,1,4
1964 Summer Olympics,PAK,1,0,0,0,1
1964 Summer Olympics,PHI,1,0,0,0,1
1964 Summer Olympics,POL,17,0,0,5,22
1964 Summer Olympics,ROU,7,0,0,5,12
1964 Summer Olympics,RUS,63,0,1,18,82
1964 Summer Olympics,SUI,2,0,1,0,3
1964 Summer Olympics,SWE,6,0,2,0,8
1964 Summer Olympics,TCH,10,0,0,2,12
1964 Summer Olympics,TTO,3,0,0,0,3
1964 Summer Olympics,TUN,2,0,0,0,2
1964 Summer Olympics,TUR,6,0,0,0,6
1964 Summer Olympics,URU,1,0,0,0,1
1964 Summer Olympics,USA,57,0,6,18,81
1964 Summer Olympics,YUG,4,0,0,0,4
1964 Winter Olympics,AUT,4,0,2,5,11
1964 Winter Olympics,CAN,1,1,0,1,3
1964 Winter Olympics,FIN,3,0,0,3,6
1964 Winter Olympics,FRA,3,0,0,2,5
1964 Winter Olympics,GBR,1,0,0,0,1
1964 Winter Olympics,GER,6,1,0,2,9
1964 Winter Olympics,ITA,3,0,1,0,4
1964 Winter Olympics,NED,1,0,0,1,2
1964 Winter Olympics,NOR,10,0,0,0,10
1964 Winter Olympics,PRK,0,0,0,1,1
1964 Winter Olympics,RUS,7,1,0,9,17
1964 Winter Olympics,SWE,4,0,0,1,5
1964 Winter Olympics,TCH,1,0,0,0,1
1964 Winter Olympics,USA,4,1,0,1,6
1968 Summer Olympics,ARG,2,0,0,0,2
1968 Summer Olympics,AUS,8,0,1,7,16
1968 Summer Olympics,AUT,1,0,1,2,4
1968 Summer Olympics,BEL,2,0,0,0,2
1968 Summer Olympics,BRA,2,0,1,0,3
1968 Summer Olympics,BUL,9,0,0,0,9
1968 Summer Olympics,CAN,1,0,1,2,4
1968 Summer Olympics,CMR,1,0,0,0,1
1968 Summer Olympics,CUB,3,0,0,1,4
1968 Summer Olympics,DEN,7,0,1,0,8
1968 Summer Olympics,ETH,1,0,0,0,1
1968 Summer Olympics,FIN,4,0,0,0,4
1968 Summer Olympics,FRA,9,0,2,1,12
