athlete,athlete_id,country_noc,sexo,sport,medal,edition
Luuka Jones,116624,NZL,Women,Canoe Slalom,Silver,2016 Summer Olympics
Oleh Verniaiev,121658,UKR,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Nikita Nagorny,135778,RUS,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Diego Hypólito,111962,BRA,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Denis Ablyazin,120449,RUS,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Danell Leyva,126655,USA,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Danell Leyva,126655,USA,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Arthur Zanetti,122272,BRA,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Louis Smith,111967,GBR,Men,Artistic Gymnastics,Silver,2016 Summer Olympics
Aly Raisman,126759,USA,Women,Artistic Gymnastics,Silver,2016 Summer Olympics
Seda Tutkhalyan,131579,RUS,Women,Artistic Gymnastics,Silver,2016 Summer Olympics
Aly Raisman,126759,USA,Women,Artistic Gymnastics,Silver,2016 Summer Olympics
Mariya Paseka,127003,RUS,Women,Artistic Gymnastics,Silver,2016 Summer Olympics
Madison Kocian,132103,USA,Women,Artistic Gymnastics,Silver,2016 Summer Olympics
Laurie Hernandez,132101,USA,Women,Artistic Gymnastics,Silver,2016 Summer Olympics
Jack Laugher,122961,GBR,Men,Diving,Silver,2016 Summer Olympics
Germán Sánchez,116094,MEX,Men,Diving,Silver,2016 Summer Olympics
Sam Dorman,136299,USA,Men,Diving,Silver,2016 Summer Olympics
Steele Johnson,136300,USA,Men,Diving,Silver,2016 Summer Olympics
He Zi,122299,CHN,Women,Diving,Silver,2016 Summer Olympics
Si Yajie,129589,CHN,Women,Diving,Silver,2016 Summer Olympics
Francesca Dallapè,116026,ITA,Women,Diving,Silver,2016 Summer Olympics
Pandelela Rinong,116060,MAS,Women,Diving,Silver,2016 Summer Olympics
Damir Martin,121787,CRO,Men,Rowing,Silver,2016 Summer Olympics
Saulius Ritter,122503,LTU,Men,Rowing,Silver,2016 Summer Olympics
Shaun Keeling,112367,RSA,Men,Rowing,Silver,2016 Summer Olympics
Alexander Belonogoff,132533,AUS,Men,Rowing,Silver,2016 Summer Olympics
Will Lockwood,123834,AUS,Men,Rowing,Silver,2016 Summer Olympics
Felix Drahotta,112365,GER,Men,Rowing,Silver,2016 Summer Olympics
Gary O'Donovan,134535,IRL,Men,Rowing,Silver,2016 Summer Olympics
Kasper Winther Jørgensen,122915,DEN,Men,Rowing,Silver,2016 Summer Olympics
Gevvie Stone,126550,USA,Women,Rowing,Silver,2016 Summer Olympics
Katherine Grainger,92558,GBR,Women,Rowing,Silver,2016 Summer Olympics
Rebecca Scown,126169,NZL,Women,Rowing,Silver,2016 Summer Olympics
Nicole Beukers,131187,NED,Women,Rowing,Silver,2016 Summer Olympics
Olivia Carnegie-Brown,130272,GBR,Women,Rowing,Silver,2016 Summer Olympics
Lindsay Jennerich,122781,CAN,Women,Rowing,Silver,2016 Summer Olympics
Daniele Lupo,123456,ITA,Men,Beach Volleyball,Silver,2016 Summer Olympics
 Bárbara,129248,BRA,Women,Beach Volleyball,Silver,2016 Summer Olympics
Om Yun-Chol,126906,PRK,Men,Weightlifting,Silver,2016 Summer Olympics
Eko Yuli Irawan,116304,INA,Men,Weightlifting,Silver,2016 Summer Olympics
Daniyar İsmayilov,125689,TUR,Men,Weightlifting,Silver,2016 Summer Olympics
Lu Xiaojun,121984,CHN,Men,Weightlifting,Silver,2016 Summer Olympics
Tian Tao,133219,CHN,Men,Weightlifting,Silver,2016 Summer Olympics
Vadzim Straltsou,116389,BLR,Men,Weightlifting,Silver,2016 Summer Olympics
Simon Martirosyan,132441,ARM,Men,Weightlifting,Silver,2016 Summer Olympics
Gor Minasyan,132439,ARM,Men,Weightlifting,Silver,2016 Summer Olympics
Sri Wahyuni Agustiani,130535,INA,Women,Weightlifting,Silver,2016 Summer Olympics
Hidilyn Diaz,116263,PHI,Women,Weightlifting,Silver,2016 Summer Olympics
Pimsiri Sirikaew,121445,THA,Women,Weightlifting,Silver,2016 Summer Olympics
Choe Hyo-Sim,131447,PRK,Women,Weightlifting,Silver,2016 Summer Olympics
Zhazira Zhapparkul,130885,KAZ,Women,Weightlifting,Silver,2016 Summer Olympics
Daria Navumava,129202,BLR,Women,Weightlifting,Silver,2016 Summer Olympics
Kim Kuk-Hyang,131448,PRK,Women,Weightlifting,Silver,2016 Summer Olympics
Yeldos Smetov,134856,KAZ,Men,Judo,Silver,2016 Summer Olympics
An Ba-Ul,134967,KOR,Men,Judo,Silver,2016 Summer Olympics
Rüstəm Orucov,126978,AZE,Men,Judo,Silver,2016 Summer Olympics
Travis Stevens,112808,USA,Men,Judo,Silver,2016 Summer Olympics
Varlam Lip'art'eliani,121795,GEO,Men,Judo,Silver,2016 Summer Olympics
Elmar Qasımov,121774,AZE,Men,Judo,Silver,2016 Summer Olympics
Hisayoshi Harasawa,134773,JPN,Men,Judo,Silver,2016 Summer Olympics
Jeong Bo-Gyeong,130960,KOR,Women,Judo,Silver,2016 Summer Olympics
Odette Giuffrida,130663,ITA,Women,Judo,Silver,2016 Summer Olympics
Dorjsürengiin Sumyaa,123511,MGL,Women,Judo,Silver,2016 Summer Olympics
Clarisse Agbegnenou,130152,FRA,Women,Judo,Silver,2016 Summer Olympics
Yuri Alvear,112601,COL,Women,Judo,Silver,2016 Summer Olympics
Audrey Tcheuméo,124728,FRA,Women,Judo,Silver,2016 Summer Olympics
Idalys Ortiz,112605,CUB,Women,Judo,Silver,2016 Summer Olympics
Rei Higuchi,134832,JPN,Men,Wrestling,Silver,2016 Summer Olympics
Toğrul Əsgərov,121429,AZE,Men,Wrestling,Silver,2016 Summer Olympics
Aniuar Geduyev,135825,RUS,Men,Wrestling,Silver,2016 Summer Olympics
Selim Yaşar,136152,TUR,Men,Wrestling,Silver,2016 Summer Olympics
Xetaq Qazyumov,117109,AZE,Men,Wrestling,Silver,2016 Summer Olympics
Komeil Ghasemi,122826,IRI,Men,Wrestling,Silver,2016 Summer Olympics
Shinobu Ota,134833,JPN,Men,Wrestling,Silver,2016 Summer Olympics
Migran Arutyunyan,132445,ARM,Men,Wrestling,Silver,2016 Summer Olympics
Mark O. Madsen,117189,DEN,Men,Wrestling,Silver,2016 Summer Olympics
Zhan Beleniuk,136216,UKR,Men,Wrestling,Silver,2016 Summer Olympics
Yasmany Lugo,133402,CUB,Men,Wrestling,Silver,2016 Summer Olympics
Rıza Kayaalp,117225,TUR,Men,Wrestling,Silver,2016 Summer Olympics
Mariya Stadnik,116984,AZE,Women,Wrestling,Silver,2016 Summer Olympics
Saori Yoshida,107550,JPN,Women,Wrestling,Silver,2016 Summer Olympics
Valeriya Koblova,126880,RUS,Women,Wrestling,Silver,2016 Summer Olympics
Maryia Mamashuk,129204,BLR,Women,Wrestling,Silver,2016 Summer Olympics
Nataliya Vorobyova,120351,RUS,Women,Wrestling,Silver,2016 Summer Olympics
Gyuzel Manyurova,107575,KAZ,Women,Wrestling,Silver,2016 Summer Olympics
Nick Dempsey,92834,GBR,Men,Sailing,Silver,2016 Summer Olympics
Tonči Stipanović,121733,CRO,Men,Sailing,Silver,2016 Summer Olympics
Mathew Belcher,124169,AUS,Men,Sailing,Silver,2016 Summer Olympics
Nathan Outteridge,117807,AUS,Men,Sailing,Silver,2016 Summer Olympics
Vasilij Žbogar,92948,SLO,Men,Sailing,Silver,2016 Summer Olympics
Chen Peina,129655,CHN,Women,Sailing,Silver,2016 Summer Olympics
Annalise Murphy,121117,IRL,Women,Sailing,Silver,2016 Summer Olympics
Polly Powrie,126127,NZL,Women,Sailing,Silver,2016 Summer Olympics
Alex Maloney,131324,NZL,Women,Sailing,Silver,2016 Summer Olympics
Jason Waterhouse,132541,AUS,Mixed,Sailing,Silver,2016 Summer Olympics
Yuberjén Martínez,133259,COL,Men,Boxing,Silver,2016 Summer Olympics
Yoel Finol,136459,VEN,Men,Boxing,Silver,2016 Summer Olympics
Shakur Stevenson,136289,USA,Men,Boxing,Silver,2016 Summer Olympics
Sofiane Oumiha,133827,FRA,Men,Boxing,Silver,2016 Summer Olympics
Lorenzo Sotomayor,132609,AZE,Men,Boxing,Silver,2016 Summer Olympics
Shakhram Giyasov,136413,UZB,Men,Boxing,Silver,2016 Summer Olympics
Bektemir Melikuziyev,136409,UZB,Men,Boxing,Silver,2016 Summer Olympics
Adilbek Niyazymbetov,126824,KAZ,Men,Boxing,Silver,2016 Summer Olympics
Vasily Levit,134844,KAZ,Men,Boxing,Silver,2016 Summer Olympics
Joe Joyce,133990,GBR,Men,Boxing,Silver,2016 Summer Olympics
Sarah Ourahmoune,130103,FRA,Women,Boxing,Silver,2016 Summer Olympics
Yin Junhua,129572,CHN,Women,Boxing,Silver,2016 Summer Olympics
Nouchka Fontijn,131136,NED,Women,Boxing,Silver,2016 Summer Olympics
Jakob Fuglsang,113255,DEN,Men,Cycling Road,Silver,2016 Summer Olympics
Tom Dumoulin,135249,NED,Men,Cycling Road,Silver,2016 Summer Olympics
Callum Skinner,134000,GBR,Men,Cycling Track,Silver,2016 Summer Olympics
Matthijs Büchli,135245,NED,Men,Cycling Track,Silver,2016 Summer Olympics
Eddie Dawkins,126204,NZL,Men,Cycling Track,Silver,2016 Summer Olympics
Michael Hepburn,123795,AUS,Men,Cycling Track,Silver,2016 Summer Olympics
Mark Cavendish,113223,GBR,Men,Cycling Track,Silver,2016 Summer Olympics
Jaroslav Kulhavý,108020,CZE,Men,Cycling Mountain Bike,Silver,2016 Summer Olympics
Jelle van Gorkom,121812,NED,Men,Cycling BMX Racing,Silver,2016 Summer Olympics
Emma Johansson,113110,SWE,Women,Cycling Road,Silver,2016 Summer Olympics
Olga Zabelinskaya,120531,RUS,Women,Cycling Road,Silver,2016 Summer Olympics
Becky James,130231,GBR,Women,Cycling Track,Silver,2016 Summer Olympics
Becky James,130231,GBR,Women,Cycling Track,Silver,2016 Summer Olympics
Darya Shmelyova,131566,RUS,Women,Cycling Track,Silver,2016 Summer Olympics
Chloé Dygert,132066,USA,Women,Cycling Track,Silver,2016 Summer Olympics
Sarah Hammer,113149,USA,Women,Cycling Track,Silver,2016 Summer Olympics
Maja Włoszczowska,107978,POL,Women,Cycling Mountain Bike,Silver,2016 Summer Olympics
Alise Post,126753,USA,Women,Cycling BMX Racing,Silver,2016 Summer Olympics
Florent Manaudou,125884,FRA,Men,Swimming,Silver,2016 Summer Olympics
Pieter Timmers,126406,BEL,Men,Swimming,Silver,2016 Summer Olympics
Chad le Clos,121715,RSA,Men,Swimming,Silver,2016 Summer Olympics
Sun Yang,112216,CHN,Men,Swimming,Silver,2016 Summer Olympics
Connor Jaeger,126622,USA,Men,Swimming,Silver,2016 Summer Olympics
Xu Jiayu,122355,CHN,Men,Swimming,Silver,2016 Summer Olympics
Mitch Larkin,125538,AUS,Men,Swimming,Silver,2016 Summer Olympics
Cameron van der Burgh,112223,RSA,Men,Swimming,Silver,2016 Summer Olympics
Josh Prenot,136364,USA,Men,Swimming,Silver,2016 Summer Olympics
"László Cseh, Jr.",103162,HUN,Men,Swimming,Silver,2016 Summer Olympics
Chad le Clos,121715,RSA,Men,Swimming,Silver,2016 Summer Olympics
Michael Phelps,93860,USA,Men,Swimming,Silver,2016 Summer Olympics
Masato Sakai,134808,JPN,Men,Swimming,Silver,2016 Summer Olympics
Kosuke Hagino,120876,JPN,Men,Swimming,Silver,2016 Summer Olympics
Chase Kalisz,136354,USA,Men,Swimming,Silver,2016 Summer Olympics
Florent Manaudou,125884,FRA,Men,Swimming,Silver,2016 Summer Olympics
Stephen Milne,134072,GBR,Men,Swimming,Silver,2016 Summer Olympics
Chris Walker-Hebborn,124377,GBR,Men,Swimming,Silver,2016 Summer Olympics
Spyros Gianniotis,93497,GRE,Men,Marathon Swimming,Silver,2016 Summer Olympics
Simone Manuel,132163,USA,Women,Swimming,Silver,2016 Summer Olympics
Sarah Sjöström,112272,SWE,Women,Swimming,Silver,2016 Summer Olympics
Jazz Carlin,130283,GBR,Women,Swimming,Silver,2016 Summer Olympics
Jazz Carlin,130283,GBR,Women,Swimming,Silver,2016 Summer Olympics
Kathleen Baker,132154,USA,Women,Swimming,Silver,2016 Summer Olympics
Katinka Hosszú,103469,HUN,Women,Swimming,Silver,2016 Summer Olympics
Yuliya Yefimova,115675,RUS,Women,Swimming,Silver,2016 Summer Olympics
Yuliya Yefimova,115675,RUS,Women,Swimming,Silver,2016 Summer Olympics
Penny Oleksiak,129511,CAN,Women,Swimming,Silver,2016 Summer Olympics
Madeline Groves,129066,AUS,Women,Swimming,Silver,2016 Summer Olympics
Siobhan-Marie O'Connor,120255,GBR,Women,Swimming,Silver,2016 Summer Olympics
Maya DiRado,132159,USA,Women,Swimming,Silver,2016 Summer Olympics
Rachele Bruni,130687,ITA,Women,Marathon Swimming,Silver,2016 Summer Olympics
Allison Schmitt,115730,USA,Women,Swimming,Silver,2016 Summer Olympics
Leah Neale,129065,AUS,Women,Swimming,Silver,2016 Summer Olympics
Madi Wilson,129067,AUS,Women,Swimming,Silver,2016 Summer Olympics
Tom Mitchell,134042,GBR,Men,Rugby Sevens,Silver,2016 Summer Olympics
Kelly Brazier,131305,NZL,Women,Rugby Sevens,Silver,2016 Summer Olympics
Alexander Massialas,127008,USA,Men,Fencing,Silver,2016 Summer Olympics
Enzo Lefort,120056,FRA,Men,Fencing,Silver,2016 Summer Olympics
Géza Imre,22468,HUN,Men,Fencing,Silver,2016 Summer Olympics
Andrea Santarelli,134616,ITA,Men,Fencing,Silver,2016 Summer Olympics
Daryl Homer,126579,USA,Men,Fencing,Silver,2016 Summer Olympics
Elisa Di Francisca,123942,ITA,Women,Fencing,Silver,2016 Summer Olympics
Rossella Fiamingo,124012,ITA,Women,Fencing,Silver,2016 Summer Olympics
Sun Yujie,122377,CHN,Women,Fencing,Silver,2016 Summer Olympics
Sofya Velikaya,112552,RUS,Women,Fencing,Silver,2016 Summer Olympics
Olha Kharlan,112560,UKR,Women,Fencing,Silver,2016 Summer Olympics
Astier Nicolas,133845,FRA,Open,Equestrian Eventing,Silver,2016 Summer Olympics
Julia Krajewski,136621,GER,Open,Equestrian Eventing,Silver,2016 Summer Olympics
Isabell Werth,11503,GER,Open,Equestrian Dressage,Silver,2016 Summer Olympics
Spencer Wilton,134010,GBR,Open,Equestrian Dressage,Silver,2016 Summer Olympics
Peder Fredricson,11981,SWE,Open,Equestrian Jumping,Silver,2016 Summer Olympics
McLain Ward,107023,USA,Open,Equestrian Jumping,Silver,2016 Summer Olympics
Gauthier Boccard,125411,BEL,Men,Hockey,Silver,2016 Summer Olympics
Willemijn Bos,131174,NED,Women,Hockey,Silver,2016 Summer Olympics
Justin Gatlin,105463,USA,Men,Athletics,Silver,2016 Summer Olympics
Andre De Grasse,133005,CAN,Men,Athletics,Silver,2016 Summer Olympics
Kirani James,120724,GRN,Men,Athletics,Silver,2016 Summer Olympics
Taoufik Makhloufi,122730,ALG,Men,Athletics,Silver,2016 Summer Olympics
Taoufik Makhloufi,122730,ALG,Men,Athletics,Silver,2016 Summer Olympics
Paul Chelimo,136259,USA,Men,Athletics,Silver,2016 Summer Olympics
Paul Tanui,134884,KEN,Men,Athletics,Silver,2016 Summer Olympics
Feyisa Lilesa,133741,ETH,Men,Athletics,Silver,2016 Summer Olympics
Orlando Ortega,124379,ESP,Men,Athletics,Silver,2016 Summer Olympics
Boniface Tumuti,127095,KEN,Men,Athletics,Silver,2016 Summer Olympics
Evan Jager,126541,USA,Men,Athletics,Silver,2016 Summer Olympics
Aska Cambridge,134703,JPN,Men,Athletics,Silver,2016 Summer Olympics
Rusheen McDonald,127134,JAM,Men,Athletics,Silver,2016 Summer Olympics
Cai Zelin,122507,CHN,Men,Athletics,Silver,2016 Summer Olympics
Jared Tallent,114642,AUS,Men,Athletics,Silver,2016 Summer Olympics
Mutaz Essa Barshim,124789,QAT,Men,Athletics,Silver,2016 Summer Olympics
Renaud Lavillenie,125941,FRA,Men,Athletics,Silver,2016 Summer Olympics
Luvo Manyonga,135679,RSA,Men,Athletics,Silver,2016 Summer Olympics
Will Claye,126797,USA,Men,Athletics,Silver,2016 Summer Olympics
Joe Kovacs,136251,USA,Men,Athletics,Silver,2016 Summer Olympics
Piotr Małachowski,114697,POL,Men,Athletics,Silver,2016 Summer Olympics
Ivan Tsikhan,83343,BLR,Men,Athletics,Silver,2016 Summer Olympics
Julius Yego,127005,KEN,Men,Athletics,Silver,2016 Summer Olympics
Kévin Mayer,125947,FRA,Men,Athletics,Silver,2016 Summer Olympics
Tori Bowie,132052,USA,Women,Athletics,Silver,2016 Summer Olympics
Dafne Schippers,125626,NED,Women,Athletics,Silver,2016 Summer Olympics
Allyson Felix,105293,USA,Women,Athletics,Silver,2016 Summer Olympics
Francine Niyonsaba,120158,BDI,Women,Athletics,Silver,2016 Summer Olympics
Genzebe Dibaba,123877,ETH,Women,Athletics,Silver,2016 Summer Olympics
Hellen Obiri,124006,KEN,Women,Athletics,Silver,2016 Summer Olympics
Vivian Cheruiyot,88160,KEN,Women,Athletics,Silver,2016 Summer Olympics
Eunice Kirwa,129369,BRN,Women,Athletics,Silver,2016 Summer Olympics
Nia Ali,132044,USA,Women,Athletics,Silver,2016 Summer Olympics
Sara Slott Petersen,123173,DEN,Women,Athletics,Silver,2016 Summer Olympics
Hyvin Kiyeng,130894,KEN,Women,Athletics,Silver,2016 Summer Olympics
Christania Williams,136660,JAM,Women,Athletics,Silver,2016 Summer Olympics
Christine Day,127130,JAM,Women,Athletics,Silver,2016 Summer Olympics
María Guadalupe González,131052,MEX,Women,Athletics,Silver,2016 Summer Olympics
Mirela Demireva,129382,BUL,Women,Athletics,Silver,2016 Summer Olympics
Sandi Morris,132047,USA,Women,Athletics,Silver,2016 Summer Olympics
Brittney Reese,115174,USA,Women,Athletics,Silver,2016 Summer Olympics
Yulimar Rojas,132214,VEN,Women,Athletics,Silver,2016 Summer Olympics
Valerie Adams,103844,NZL,Women,Athletics,Silver,2016 Summer Olympics
Mélina Robert-Michon,86895,FRA,Women,Athletics,Silver,2016 Summer Olympics
Zhang Wenxiu,105345,CHN,Women,Athletics,Silver,2016 Summer Olympics
Sunette Viljoen,106498,RSA,Women,Athletics,Silver,2016 Summer Olympics
Jessica Ennis-Hill,124069,GBR,Women,Athletics,Silver,2016 Summer Olympics
Miroslav Raduljica,135891,SRB,Men,Basketball,Silver,2016 Summer Olympics
Laia Palau,103074,ESP,Women,Basketball,Silver,2016 Summer Olympics
Timo Horn,134178,GER,Men,Football,Silver,2016 Summer Olympics
Emelie Lundberg,1006222,SWE,Women,Football,Silver,2016 Summer Olympics
Mathieu Grébille,133866,FRA,Men,Handball,Silver,2016 Summer Olympics
Estelle Nze Minko,130146,FRA,Women,Handball,Silver,2016 Summer Olympics
Felipe Wu,132904,BRA,Men,Shooting,Silver,2016 Summer Olympics
Jean Quiquampoix,133905,FRA,Men,Shooting,Silver,2016 Summer Olympics
Hoàng Xuân Vinh,125166,VIE,Men,Shooting,Silver,2016 Summer Olympics
Serhiy Kulish,121496,UKR,Men,Shooting,Silver,2016 Summer Olympics
Sergey Kamensky,135792,RUS,Men,Shooting,Silver,2016 Summer Olympics
Kim Jong-Hyeon,124385,KOR,Men,Shooting,Silver,2016 Summer Olympics
Giovanni Pellielo,42999,ITA,Men,Shooting,Silver,2016 Summer Olympics
Marco Innocenti,93088,ITA,Men,Shooting,Silver,2016 Summer Olympics
Marcus Svensson,121141,SWE,Men,Shooting,Silver,2016 Summer Olympics
Vitalina Batsarashkina,131606,RUS,Women,Shooting,Silver,2016 Summer Olympics
Monika Karsch,130411,GER,Women,Shooting,Silver,2016 Summer Olympics
Du Li,104663,CHN,Women,Shooting,Silver,2016 Summer Olympics
Zhang Binbin,129656,CHN,Women,Shooting,Silver,2016 Summer Olympics
Natalie Rooney,131328,NZL,Women,Shooting,Silver,2016 Summer Olympics
Chiara Càinero,104730,ITA,Women,Shooting,Silver,2016 Summer Olympics
Zhang Jike,121928,CHN,Men,Table Tennis,Silver,2016 Summer Olympics
Jun Mizutani,117511,JPN,Men,Table Tennis,Silver,2016 Summer Olympics
Li Xiaoxia,121930,CHN,Women,Table Tennis,Silver,2016 Summer Olympics
Petrissa Solja,130427,GER,Women,Table Tennis,Silver,2016 Summer Olympics
Pasquale Sottile,134665,ITA,Men,Volleyball,Silver,2016 Summer Olympics
Jovana Brakočević-Kancian,112097,SRB,Women,Volleyball,Silver,2016 Summer Olympics
Maro Joković,114174,CRO,Men,Water Polo,Silver,2016 Summer Olympics
Aleksandra Cotti,121816,ITA,Women,Water Polo,Silver,2016 Summer Olympics
Chris Mazdzer,119429,USA,Men,Luge,Silver,2018 Winter Olympics
Georges Dubois,920316,FRA,Open,Art Competitions,Silver,1912 Summer Olympics
Holger Sinding-Larsen,921159,NOR,Open,Art Competitions,Silver,1920 Summer Olympics
Theodore Andrea Cook,920455,GBR,Open,Art Competitions,Silver,1920 Summer Olympics
Oreste Riva,920907,ITA,Open,Art Competitions,Silver,1920 Summer Olympics
Henriette Brossin de Méré-de Polanska,920282,FRA,Open,Art Competitions,Silver,1920 Summer Olympics
Simon Goossens,920136,BEL,Open,Art Competitions,Silver,1920 Summer Olympics
Alfréd Hajós,48186,HUN,Open,Art Competitions,Silver,1924 Summer Olympics
Josef Petersen,920239,DEN,Open,Art Competitions,Silver,1924 Summer Olympics
Dorothy Margaret Stuart,920551,GBR,Open,Art Competitions,Silver,1924 Summer Olympics
Jack Yeats,920813,IRL,Open,Art Competitions,Silver,1924 Summer Olympics
Frantz Heldenstein,921030,LUX,Open,Art Competitions,Silver,1924 Summer Olympics
Jacques Lambert,920352,FRA,Open,Art Competitions,Silver,1928 Summer Olympics
Ejnar Mindedal Rasmussen,920241,DEN,Open,Art Competitions,Silver,1928 Summer Olympics
Ernst Weiß,920749,GER,Open,Art Competitions,Silver,1928 Summer Olympics
Rudolf Binding,920587,GER,Open,Art Competitions,Silver,1928 Summer Olympics
 Paulo maiora canamus,920850,ITA,Open,Art Competitions,Silver,1928 Summer Olympics
Laura Knight,920500,GBR,Open,Art Competitions,Silver,1928 Summer Olympics
Carl Moos,921308,SUI,Open,Art Competitions,Silver,1928 Summer Olympics
Alex Virot,920423,FRA,Open,Art Competitions,Silver,1928 Summer Olympics
Milo Martin,921305,SUI,Open,Art Competitions,Silver,1928 Summer Olympics
Chris van der Hoef,921130,NED,Open,Art Competitions,Silver,1928 Summer Olympics
Jens Houmøller Klemmensen,920224,DEN,Open,Art Competitions,Silver,1932 Summer Olympics
John Russell Pope,921596,USA,Open,Art Competitions,Silver,1932 Summer Olympics
Josef Petersen,920239,DEN,Open,Art Competitions,Silver,1932 Summer Olympics
Josef Suk,921422,TCH,Open,Art Competitions,Silver,1932 Summer Olympics
Ruth Miller,921576,USA,Open,Art Competitions,Silver,1932 Summer Olympics
Janina Konarska,921201,POL,Open,Art Competitions,Silver,1932 Summer Olympics
Percy Crosby,921482,USA,Open,Art Competitions,Silver,1932 Summer Olympics
Miltiades Manno,38165,HUN,Open,Art Competitions,Silver,1932 Summer Olympics
Frederick MacMonnies,921564,USA,Open,Art Competitions,Silver,1932 Summer Olympics
Charles Downing Lay,921552,USA,Open,Art Competitions,Silver,1936 Summer Olympics
Werner March,920672,GER,Open,Art Competitions,Silver,1936 Summer Olympics
Wilhelm Ehmer,920610,GER,Open,Art Competitions,Silver,1936 Summer Olympics
Bruno Fattori,920859,ITA,Open,Art Competitions,Silver,1936 Summer Olympics
Lino Liviabella,920875,ITA,Open,Art Competitions,Silver,1936 Summer Olympics
Kurt Thomas,920734,GER,Open,Art Competitions,Silver,1936 Summer Olympics
Rudolf Eisenmenger,920013,AUT,Open,Art Competitions,Silver,1936 Summer Olympics
Romano Dazzi,920849,ITA,Open,Art Competitions,Silver,1936 Summer Olympics
Arno Breker,920591,GER,Open,Art Competitions,Silver,1936 Summer Olympics
Luciano Mercante,920885,ITA,Open,Art Competitions,Silver,1936 Summer Olympics
Józef Klukowski,921200,POL,Open,Art Competitions,Silver,1936 Summer Olympics
Edy Knupfer,921298,SUI,Open,Art Competitions,Silver,1948 Summer Olympics
Alfred Rinesch,920075,AUT,Open,Art Competitions,Silver,1948 Summer Olympics
Josef Petersen,920239,DEN,Open,Art Competitions,Silver,1948 Summer Olympics
Ernst Van Heerden,921267,RSA,Open,Art Competitions,Silver,1948 Summer Olympics
Kalervo Tuukkanen,920261,FIN,Open,Art Competitions,Silver,1948 Summer Olympics
John Weinzweig,920197,CAN,Open,Art Competitions,Silver,1948 Summer Olympics
Giovanni Stradone,920912,ITA,Open,Art Competitions,Silver,1948 Summer Olympics
Alex Walter Diggelmann,921283,SUI,Open,Art Competitions,Silver,1948 Summer Olympics
John Copley,920457,GBR,Open,Art Competitions,Silver,1948 Summer Olympics
Chintamoni Kar,920497,GBR,Open,Art Competitions,Silver,1948 Summer Olympics
Oskar Thiede,920092,AUT,Open,Art Competitions,Silver,1948 Summer Olympics
Tilemachos Karakalos,22367,GRE,Men,Fencing,Silver,1896 Summer Olympics
Ramón Fonst,21517,CUB,Men,Fencing,Silver,1900 Summer Olympics
William Grebe,23714,USA,Men,Fencing,Silver,1904 Summer Olympics
Marc Perrodon,21997,FRA,Men,Fencing,Silver,1920 Summer Olympics
Emil Hegle Svendsen,111029,NOR,Men,Biathlon,Silver,2010 Winter Olympics
Ole Einar Bjørndalen,84154,NOR,Men,Biathlon,Silver,2010 Winter Olympics
Siarhei Novikau,109615,BLR,Men,Biathlon,Silver,2010 Winter Olympics
Christoph Sumann,101195,AUT,Men,Biathlon,Silver,2010 Winter Olympics
Martin Fourcade,118554,FRA,Men,Biathlon,Silver,2010 Winter Olympics
Christoph Sumann,101195,AUT,Men,Biathlon,Silver,2010 Winter Olympics
Magdalena Neuner,118546,GER,Women,Biathlon,Silver,2010 Winter Olympics
Yelena Khrustalyova,101385,KAZ,Women,Biathlon,Silver,2010 Winter Olympics
Anastasia Kuzmina,118501,SVK,Women,Biathlon,Silver,2010 Winter Olympics
Olga Zaytseva,101172,RUS,Women,Biathlon,Silver,2010 Winter Olympics
Sylvie Becaert,101165,FRA,Women,Biathlon,Silver,2010 Winter Olympics
Pietro Piller Cottrer,100096,ITA,Men,Cross Country Skiing,Silver,2010 Winter Olympics
Tobias Angerer,101024,GER,Men,Cross Country Skiing,Silver,2010 Winter Olympics
Axel Teichmann,101020,GER,Men,Cross Country Skiing,Silver,2010 Winter Olympics
Aleksandr Panzhinsky,118720,RUS,Men,Cross Country Skiing,Silver,2010 Winter Olympics
Martin Johnsrud Sundby,118807,NOR,Men,Cross Country Skiing,Silver,2010 Winter Olympics
Axel Teichmann,101020,GER,Men,Cross Country Skiing,Silver,2010 Winter Olympics
Kristina Šmigun-Vähi,82400,EST,Women,Cross Country Skiing,Silver,2010 Winter Olympics
Anna Haag,118732,SWE,Women,Cross Country Skiing,Silver,2010 Winter Olympics
Marit Bjørgen,101008,NOR,Women,Cross Country Skiing,Silver,2010 Winter Olympics
Justyna Kowalczyk,109782,POL,Women,Cross Country Skiing,Silver,2010 Winter Olympics
Evi Sachenbacher-Stehle,100986,GER,Women,Cross Country Skiing,Silver,2010 Winter Olympics
Charlotte Kalla,118748,SWE,Women,Cross Country Skiing,Silver,2010 Winter Olympics
Johnny Spillane,101094,USA,Men,Nordic Combined,Silver,2010 Winter Olympics
Johnny Spillane,101094,USA,Men,Nordic Combined,Silver,2010 Winter Olympics
Brett Camerota,109600,USA,Men,Nordic Combined,Silver,2010 Winter Olympics
Adam Małysz,99860,POL,Men,Ski Jumping,Silver,2010 Winter Olympics
